Title,Date,Year,Month,Day,Weekday,Gross,Days_Since_Release,Price,Tickets,Genre,Info,MPAA_Rating,Violence,viol_strong,viol_mild,viol_non,Exp_Violence,exp_viol_strong,exp_viol_mild,exp_viol_non,more_violent,as_violent,less_violent
Titanic,1997-12-19,1997,12,19,6,8658814,1,4.59,1886451.85185185,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143624716,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-20,1997,12,20,7,10672013,2,4.59,2325057.29847495,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626564,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-21,1997,12,21,1,9307304,3,4.59,2027735.07625272,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626477,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-22,1997,12,22,2,5578212,4,4.59,1215296.73202614,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626803,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-23,1997,12,23,3,6003119,5,4.59,1307869.06318083,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626131,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-24,1997,12,24,4,3571345,6,4.59,778070.806100218,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626501,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-25,1997,12,25,5,9178529,7,4.59,1999679.52069717,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.8456014362718,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-26,1997,12,26,6,12122298,8,4.59,2641023.52941176,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626671,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-27,1997,12,27,7,12466455,9,4.59,2716003.26797386,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626603,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-28,1997,12,28,1,10866520,10,4.59,2367433.55119826,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626737,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-29,1997,12,29,2,7942920,11,4.59,1730483.66013072,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626193,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-30,1997,12,30,3,8012909,12,4.59,1745731.80827887,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1997-12-31,1997,12,31,4,8213735,13,4.59,1789484.74945534,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-01,1998,1,1,5,11558520,14,4.69,2464503.19829424,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-02,1998,1,2,6,11698861,15,4.69,2494426.65245203,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-03,1998,1,3,7,12726625,16,4.69,2713566.09808102,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-04,1998,1,4,1,8889792,17,4.69,1895478.03837953,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-05,1998,1,5,2,3022271,18,4.69,644407.462686567,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-06,1998,1,6,3,3044822,19,4.69,649215.778251599,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-07,1998,1,7,4,2841351,20,4.69,605831.769722814,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-08,1998,1,8,5,2789088,21,4.69,594688.272921109,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-09,1998,1,9,6,7738150,22,4.69,1649925.37313433,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-10,1998,1,10,7,12758118,23,4.69,2720281.02345416,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-11,1998,1,11,1,8220042,24,4.69,1752674.20042644,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-12,1998,1,12,2,2170146,25,4.69,462717.697228145,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-13,1998,1,13,3,2386164,26,4.69,508776.97228145,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-14,1998,1,14,4,2095782,27,4.69,446861.833688699,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-15,1998,1,15,5,2200465,28,4.69,469182.302771855,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-16,1998,1,16,6,7418385,29,4.69,1581745.20255864,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-17,1998,1,17,7,12357344,30,4.69,2634828.14498934,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-18,1998,1,18,1,10235305,31,4.69,2182367.80383795,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-19,1998,1,19,2,6003510,32,4.69,1280066.09808102,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-20,1998,1,20,3,2322334,33,4.69,495167.164179104,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-21,1998,1,21,4,2076976,34,4.69,442852.025586354,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-22,1998,1,22,5,2212942,35,4.69,471842.643923241,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-23,1998,1,23,6,7031183,36,4.69,1499186.14072495,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-24,1998,1,24,7,12474937,37,4.69,2659901.2793177,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-25,1998,1,25,1,5732600,38,4.69,1222302.77185501,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-26,1998,1,26,2,1901222,39,4.69,405377.825159915,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-27,1998,1,27,3,1922428,40,4.69,409899.360341151,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-28,1998,1,28,4,1808170,41,4.69,385537.313432836,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-29,1998,1,29,5,1961325,42,4.69,418192.963752665,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-30,1998,1,30,6,6652831,43,4.69,1418514.07249467,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-01-31,1998,1,31,7,11963977,44,4.69,2550954.58422175,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-02-01,1998,2,1,1,7290364,45,4.69,1554448.61407249,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-02-02,1998,2,2,2,1505547,46,4.69,321012.153518124,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Titanic,1998-02-03,1998,2,3,3,1736853,47,4.69,370331.130063966,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language",PG13,6,FALSE,TRUE,FALSE,5.84560143626575,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
