Title,Year,Month,Day,Weekday,Gross,Days_Since_Release
Titanic,1997,12,19,6,8658814,1
Titanic,1997,12,20,7,10672013,2
Titanic,1997,12,21,1,9307304,3
Titanic,1997,12,22,2,5578212,4
Titanic,1997,12,23,3,6003119,5
Titanic,1997,12,24,4,3571345,6
Titanic,1997,12,25,5,9178529,7
Titanic,1997,12,26,6,12122298,8
Titanic,1997,12,27,7,12466455,9
Titanic,1997,12,28,1,10866520,10
Titanic,1997,12,29,2,7942920,11
Titanic,1997,12,30,3,8012909,12
Titanic,1997,12,31,4,8213735,13
Titanic,1998,1,1,5,11558520,14
Titanic,1998,1,2,6,11698861,15
Titanic,1998,1,3,7,12726625,16
Titanic,1998,1,4,1,8889792,17
Titanic,1998,1,5,2,3022271,18
Titanic,1998,1,6,3,3044822,19
Titanic,1998,1,7,4,2841351,20
Titanic,1998,1,8,5,2789088,21
Titanic,1998,1,9,6,7738150,22
Titanic,1998,1,10,7,12758118,23
Titanic,1998,1,11,1,8220042,24
Titanic,1998,1,12,2,2170146,25
Titanic,1998,1,13,3,2386164,26
Titanic,1998,1,14,4,2095782,27
Titanic,1998,1,15,5,2200465,28
Titanic,1998,1,16,6,7418385,29
Titanic,1998,1,17,7,12357344,30
Titanic,1998,1,18,1,10235305,31
Titanic,1998,1,19,2,6003510,32
Titanic,1998,1,20,3,2322334,33
Titanic,1998,1,21,4,2076976,34
Titanic,1998,1,22,5,2212942,35
Titanic,1998,1,23,6,7031183,36
Titanic,1998,1,24,7,12474937,37
Titanic,1998,1,25,1,5732600,38
Titanic,1998,1,26,2,1901222,39
Titanic,1998,1,27,3,1922428,40
Titanic,1998,1,28,4,1808170,41
Titanic,1998,1,29,5,1961325,42
Titanic,1998,1,30,6,6652831,43
Titanic,1998,1,31,7,11963977,44
Titanic,1998,2,1,1,7290364,45
Titanic,1998,2,2,2,1505547,46
Titanic,1998,2,3,3,1736853,47
Titanic,1998,2,4,4,1448751,48
Titanic,1998,2,5,5,1536474,49
Titanic,1998,2,6,6,5712448,50
Titanic,1998,2,7,7,10818530,51
Titanic,1998,2,8,1,6496860,52
Titanic,1998,2,9,2,1355098,53
Titanic,1998,2,10,3,1506524,54
Titanic,1998,2,11,4,1460439,55
Titanic,1998,2,12,5,1716570,56
Titanic,1998,2,13,6,5730480,57
Titanic,1998,2,14,7,13048711,58
Titanic,1998,2,15,1,9388756,59
Titanic,1998,2,16,2,4708477,60
Titanic,1998,2,17,3,1873856,61
Titanic,1998,2,18,4,1627967,62
Titanic,1998,2,19,5,1752994,63
Titanic,1998,2,20,6,5239962,64
Titanic,1998,2,21,7,9925539,65
Titanic,1998,2,22,1,5870842,66
Titanic,1998,2,23,2,1177689,67
Titanic,1998,2,24,3,1291197,68
Titanic,1998,2,25,4,1053227,69
Titanic,1998,2,26,5,1266838,70
Titanic,1998,2,27,6,4739243,71
Titanic,1998,2,28,7,9374965,72
Titanic,1998,3,1,1,5518848,73
Titanic,1998,3,2,2,1062265,74
Titanic,1998,3,3,3,1288344,75
Titanic,1998,3,4,4,1052511,76
Titanic,1998,3,5,5,1164538,77
Titanic,1998,3,6,6,4364108,78
Titanic,1998,3,7,7,8358879,79
Titanic,1998,3,8,1,4882862,80
Titanic,1998,3,9,2,1055683,81
Titanic,1998,3,10,3,1241687,82
Titanic,1998,3,11,4,1115628,83
